X,Y,Z,C
-41.0560,19.3051,-7.2517,4.0000
-41.3173,19.3470,-7.2517,4.0000
-41.5784,19.3873,-7.2517,4.0000
-41.8394,19.4259,-7.2517,4.0000
-42.1002,19.4629,-7.2517,4.0000
-42.3609,19.4983,-7.2517,4.0000
-42.6214,19.5320,-7.2517,4.0000
-42.8818,19.5641,-7.2517,4.0000
-43.1420,19.5946,-7.2517,4.0000
-43.4021,19.6236,-7.2517,4.0000
-43.6621,19.6509,-7.2517,4.0000
-43.9220,19.6766,-7.2517,4.0000
-44.1818,19.7007,-7.2517,4.0000
-44.4414,19.7232,-7.2517,4.0000
-44.7010,19.7441,-7.2517,4.0000
-44.9605,19.7635,-7.2517,4.0000
-45.2199,19.7813,-7.2517,4.0000
-45.4793,19.7975,-7.2517,4.0000
-45.7385,19.8121,-7.2517,4.0000
-46.1406,18.2502,-6.1328,5.0000
-46.4046,17.9690,-5.9256,5.0000
-46.6612,17.6943,-5.7241,5.0000
-46.9108,17.4257,-5.5282,5.0000
-47.1537,17.1629,-5.3375,5.0000
-47.3901,16.9058,-5.1520,5.0000
-47.6203,16.6541,-4.9713,5.0000
-47.8445,16.4076,-4.7952,5.0000
-48.0632,16.2633,-4.6926,5.0000
-48.2805,16.2624,-4.6926,5.0000
-48.4978,16.2602,-4.6926,5.0000
-48.7151,16.2567,-4.6926,5.0000
-48.9325,16.2519,-4.6926,5.0000
-49.1498,16.2458,-4.6926,5.0000
-49.3672,16.2384,-4.6926,5.0000
-49.5846,16.2296,-4.6926,5.0000
-49.8021,16.2195,-4.6926,5.0000
-50.0196,16.2082,-4.6926,5.0000
-50.2372,16.1954,-4.6926,5.0000
-50.4560,16.1908,-4.6993,5.0000
-50.6760,16.1908,-4.7102,5.0000
-50.8966,16.1908,-4.7221,5.0000
-51.1178,16.1908,-4.7350,5.0000
-51.3399,16.1908,-4.7489,5.0000
-52.2185,19.6683,-7.2517,4.0000
-52.4784,19.6421,-7.2517,4.0000
-52.7384,19.6142,-7.2517,4.0000
-52.9986,19.5848,-7.2517,4.0000
-53.2588,19.5537,-7.2517,4.0000
-53.5193,19.5211,-7.2517,4.0000
-53.7798,19.4868,-7.2517,4.0000
-54.0405,19.4509,-7.2517,4.0000
-54.3014,19.4134,-7.2517,4.0000
-54.5625,19.3742,-7.2517,4.0000
-54.8237,19.3334,-7.2517,4.0000
-55.0850,19.2910,-7.2517,4.0000
-55.3466,19.2469,-7.2517,4.0000
-55.6084,19.2011,-7.2517,4.0000
-55.8703,19.1537,-7.2517,4.0000
-56.1325,19.1046,-7.2517,4.0000
-56.3948,19.0538,-7.2517,4.0000
-56.6574,19.0014,-7.2517,4.0000
-56.9202,18.9472,-7.2517,4.0000
-39.9223,16.9128,-7.2517,4.0000
-40.1632,16.9648,-7.2517,4.0000
-40.4040,17.0152,-7.2517,4.0000
-40.6447,17.0639,-7.2517,4.0000
-40.8853,17.1111,-7.2517,4.0000
-41.1257,17.1566,-7.2517,4.0000
-41.3661,17.2005,-7.2517,4.0000
-41.6063,17.2429,-7.2517,4.0000
-41.8465,17.2836,-7.2517,4.0000
-42.0865,17.3227,-7.2517,4.0000
-42.3265,17.3602,-7.2517,4.0000
-42.5664,17.3962,-7.2517,4.0000
-42.8061,17.4306,-7.2517,4.0000
-43.0458,17.4634,-7.2517,4.0000
-43.2854,17.4946,-7.2517,4.0000
-43.5250,17.5243,-7.2517,4.0000
-43.7644,17.5525,-7.2517,4.0000
-44.0038,17.5790,-7.2517,4.0000
-44.2432,17.6041,-7.2517,4.0000
-44.4824,17.6275,-7.2517,4.0000
-44.7216,17.6495,-7.2517,4.0000
-45.0046,17.3809,-7.0246,5.0000
-45.2786,17.1257,-6.8095,5.0000
-45.5450,16.8759,-6.6003,5.0000
-45.8043,16.6315,-6.3968,5.0000
-46.0568,16.3921,-6.1986,5.0000
-46.2995,16.1908,-6.0317,5.0000
-46.5210,16.1908,-6.0236,5.0000
