X,Y,Z,C
9.3946,48.3938,-2.1317,4.0000
9.4464,48.0862,-2.1317,4.0000
9.5001,47.7782,-2.1317,4.0000
9.5557,47.4699,-2.1317,4.0000
9.6131,47.1612,-2.1317,4.0000
9.6724,46.8521,-2.1317,4.0000
12.1870,66.7156,-2.1317,4.0000
12.1293,66.4336,-2.1317,4.0000
12.0734,66.1518,-2.1317,4.0000
12.0193,65.8703,-2.1317,4.0000
11.9670,65.5890,-2.1317,4.0000
11.9165,65.3079,-2.1317,4.0000
11.8679,65.0270,-2.1317,4.0000
11.8209,64.7463,-2.1317,4.0000
11.7758,64.4658,-2.1317,4.0000
11.7324,64.1855,-2.1317,4.0000
11.6908,63.9054,-2.1317,4.0000
11.6509,63.6255,-2.1317,4.0000
11.6128,63.3457,-2.1317,4.0000
11.5765,63.0661,-2.1317,4.0000
11.5418,62.7866,-2.1317,4.0000
11.5089,62.5073,-2.1317,4.0000
11.4777,62.2282,-2.1317,4.0000
11.4482,61.9491,-2.1317,4.0000
11.4205,61.6702,-2.1317,4.0000
11.3944,61.3914,-2.1317,4.0000
11.3701,61.1127,-2.1317,4.0000
11.3475,60.8341,-2.1317,4.0000
11.3265,60.5556,-2.1317,4.0000
11.3073,60.2771,-2.1317,4.0000
11.2897,59.9988,-2.1317,4.0000
11.2739,59.7205,-2.1317,4.0000
11.2597,59.4423,-2.1317,4.0000
11.2472,59.1642,-2.1317,4.0000
11.2364,58.8861,-2.1317,4.0000
11.2273,58.6080,-2.1317,4.0000
11.2199,58.3300,-2.1317,4.0000
11.2141,58.0520,-2.1317,4.0000
11.2100,57.7740,-2.1317,4.0000
11.2076,57.4961,-2.1317,4.0000
11.2069,57.2182,-2.1317,4.0000
11.2078,56.9402,-2.1317,4.0000
11.2105,56.6622,-2.1317,4.0000
11.2148,56.3843,-2.1317,4.0000
11.2208,56.1063,-2.1317,4.0000
11.2284,55.8283,-2.1317,4.0000
11.2378,55.5502,-2.1317,4.0000
11.2488,55.2721,-2.1317,4.0000
11.2615,54.9939,-2.1317,4.0000
11.2759,54.7157,-2.1317,4.0000
11.2920,54.4375,-2.1317,4.0000
11.3098,54.1591,-2.1317,4.0000
11.3293,53.8807,-2.1317,4.0000
11.3504,53.6022,-2.1317,4.0000
11.3733,53.3236,-2.1317,4.0000
11.3979,53.0448,-2.1317,4.0000
11.4242,52.7660,-2.1317,4.0000
11.4522,52.4871,-2.1317,4.0000
11.4819,52.2080,-2.1317,4.0000
11.5133,51.9288,-2.1317,4.0000
11.5464,51.6495,-2.1317,4.0000
11.5813,51.3700,-2.1317,4.0000
11.6179,51.0904,-2.1317,4.0000
11.6563,50.8106,-2.1317,4.0000
11.6964,50.5306,-2.1317,4.0000
11.7382,50.2505,-2.1317,4.0000
11.7819,49.9701,-2.1317,4.0000
11.8273,49.6896,-2.1317,4.0000
11.8744,49.4089,-2.1317,4.0000
11.9233,49.1280,-2.1317,4.0000
11.9741,48.8469,-2.1317,4.0000
12.0266,48.5656,-2.1317,4.0000
12.0809,48.2840,-2.1317,4.0000
12.1370,48.0022,-2.1317,4.0000
12.1950,47.7202,-2.1317,4.0000
14.3896,65.9609,-2.1317,4.0000
14.3336,65.7023,-2.1317,4.0000
14.2793,65.4439,-2.1317,4.0000
14.2268,65.1855,-2.1317,4.0000
14.1761,64.9273,-2.1317,4.0000
14.1270,64.6692,-2.1317,4.0000
14.0798,64.4113,-2.1317,4.0000
14.0342,64.1534,-2.1317,4.0000
13.9903,63.8957,-2.1317,4.0000
13.9481,63.6380,-2.1317,4.0000
13.9077,63.3805,-2.1317,4.0000
13.8689,63.1231,-2.1317,4.0000
13.8319,62.8657,-2.1317,4.0000
13.7965,62.6085,-2.1317,4.0000
13.7628,62.3513,-2.1317,4.0000
13.7308,62.0942,-2.1317,4.0000
13.7004,61.8372,-2.1317,4.0000
13.6717,61.5802,-2.1317,4.0000
13.6447,61.3234,-2.1317,4.0000
13.6194,61.0666,-2.1317,4.0000
13.5957,60.8098,-2.1317,4.0000
18.7868,59.7567,1.9670,4.0000
18.6208,59.5829,1.8487,4.0000
18.6064,59.3862,1.8487,4.0000
18.5933,59.1895,1.8487,4.0000
18.5815,58.9928,1.8487,4.0000
18.5709,58.7962,1.8487,4.0000
18.5619,58.5995,1.8490,4.0000
18.5538,58.4030,1.8490,4.0000
18.5470,58.2064,1.8490,4.0000
18.5415,58.0098,1.8490,4.0000
18.5372,57.8133,1.8490,4.0000
18.5341,57.6168,1.8490,4.0000
18.5323,57.4202,1.8490,4.0000
18.5318,57.2237,1.8490,4.0000
18.5325,57.0272,1.8490,4.0000
18.5345,56.8307,1.8490,4.0000
18.5374,56.6341,1.8487,4.0000
18.5418,56.4376,1.8487,4.0000
18.5475,56.2410,1.8487,4.0000
18.5545,56.0444,1.8487,4.0000
18.5628,55.8479,1.8487,4.0000
18.5823,55.6522,1.8566,4.0000
13.5040,54.9123,-2.1317,4.0000
13.5197,54.6558,-2.1317,4.0000
13.5370,54.3993,-2.1317,4.0000
13.5559,54.1427,-2.1317,4.0000
13.5766,53.8861,-2.1317,4.0000
13.5988,53.6294,-2.1317,4.0000
13.6227,53.3726,-2.1317,4.0000
13.6483,53.1158,-2.1317,4.0000
13.6756,52.8590,-2.1317,4.0000
13.7045,52.6020,-2.1317,4.0000
13.7350,52.3450,-2.1317,4.0000
13.7673,52.0879,-2.1317,4.0000
13.8012,51.8307,-2.1317,4.0000
13.8368,51.5734,-2.1317,4.0000
13.8741,51.3161,-2.1317,4.0000
13.9131,51.0586,-2.1317,4.0000
13.9538,50.8011,-2.1317,4.0000
13.9962,50.5434,-2.1317,4.0000
14.0403,50.2856,-2.1317,4.0000
14.0861,50.0278,-2.1317,4.0000
14.1336,49.7698,-2.1317,4.0000
14.1829,49.5117,-2.1317,4.0000
14.2339,49.2535,-2.1317,4.0000
14.2866,48.9951,-2.1317,4.0000
14.3411,48.7366,-2.1317,4.0000
14.3974,48.4780,-2.1317,4.0000
16.3373,65.2936,-2.1317,4.0000
16.2832,65.0556,-2.1317,4.0000
16.2308,64.8176,-2.1317,4.0000
16.1801,64.5797,-2.1317,4.0000
16.1311,64.3418,-2.1317,4.0000
16.0837,64.1040,-2.1317,4.0000
16.0380,63.8662,-2.1317,4.0000
15.9939,63.6284,-2.1317,4.0000
15.9515,63.3907,-2.1317,4.0000
15.9107,63.1531,-2.1317,4.0000
15.8716,62.9155,-2.1317,4.0000
15.8341,62.6779,-2.1317,4.0000
15.7982,62.4403,-2.1317,4.0000
15.7640,62.2028,-2.1317,4.0000
15.7314,61.9654,-2.1317,4.0000
15.7004,61.7279,-2.1317,4.0000
15.6710,61.4905,-2.1317,4.0000
15.6433,61.2532,-2.1317,4.0000
15.6171,61.0158,-2.1317,4.0000
15.5926,60.7785,-2.1317,4.0000
20.3000,59.7482,1.9640,4.0000
20.1505,59.5886,1.8487,4.0000
20.1354,59.4067,1.8487,4.0000
20.1214,59.2248,1.8487,4.0000
20.1087,59.0430,1.8487,4.0000
20.0973,58.8611,1.8487,4.0000
20.0873,58.6792,1.8490,4.0000
20.0783,58.4974,1.8490,4.0000
20.0705,58.3156,1.8490,4.0000
20.0639,58.1337,1.8490,4.0000
20.0585,57.9519,1.8490,4.0000
20.0543,57.7701,1.8490,4.0000
20.0514,57.5883,1.8490,4.0000
20.0497,57.4065,1.8490,4.0000
20.0491,57.2247,1.8490,4.0000
20.0498,57.0429,1.8490,4.0000
20.0517,56.8611,1.8490,4.0000
20.0545,56.6793,1.8487,4.0000
20.0589,56.4975,1.8487,4.0000
20.0644,56.3157,1.8487,4.0000
20.0712,56.1339,1.8487,4.0000
20.0792,55.9520,1.8487,4.0000
20.0884,55.7702,1.8487,4.0000
20.2360,55.6032,1.9670,4.0000
15.4961,54.8496,-2.1317,4.0000
15.5128,54.6124,-2.1317,4.0000
15.5312,54.3752,-2.1317,4.0000
15.5511,54.1379,-2.1317,4.0000
15.5727,53.9007,-2.1317,4.0000
15.5958,53.6634,-2.1317,4.0000
15.6206,53.4260,-2.1317,4.0000
15.6470,53.1887,-2.1317,4.0000
15.6750,52.9513,-2.1317,4.0000
15.7045,52.7139,-2.1317,4.0000
15.7358,52.4765,-2.1317,4.0000
15.7686,52.2390,-2.1317,4.0000
15.8030,52.0015,-2.1317,4.0000
15.8391,51.7640,-2.1317,4.0000
15.8768,51.5264,-2.1317,4.0000
15.9162,51.2887,-2.1317,4.0000
15.9572,51.0511,-2.1317,4.0000
15.9998,50.8134,-2.1317,4.0000
16.0441,50.5756,-2.1317,4.0000
16.0901,50.3378,-2.1317,4.0000
16.1377,50.1000,-2.1317,4.0000
16.1869,49.8621,-2.1317,4.0000
16.2379,49.6242,-2.1317,4.0000
16.2905,49.3862,-2.1317,4.0000
16.3448,49.1482,-2.1317,4.0000
18.0790,64.6969,-2.1317,4.0000
18.0270,64.4771,-2.1317,4.0000
17.9766,64.2574,-2.1317,4.0000
17.9278,64.0376,-2.1317,4.0000
17.8806,63.8178,-2.1317,4.0000
17.8349,63.5980,-2.1317,4.0000
17.7909,63.3782,-2.1317,4.0000
17.7485,63.1584,-2.1317,4.0000
17.7077,62.9386,-2.1317,4.0000
17.6684,62.7188,-2.1317,4.0000
17.6307,62.4989,-2.1317,4.0000
17.5946,62.2791,-2.1317,4.0000
17.5600,62.0592,-2.1317,4.0000
17.5270,61.8394,-2.1317,4.0000
17.4956,61.6195,-2.1317,4.0000
17.4657,61.3997,-2.1317,4.0000
17.4374,61.1798,-2.1317,4.0000
17.4106,60.9600,-2.1317,4.0000
17.3854,60.7401,-2.1317,4.0000
21.4000,59.7803,1.7145,3.0000
21.4000,59.6071,1.7308,3.0000
21.5198,59.4155,1.8597,3.0000
21.5198,59.2449,1.8736,3.0000
21.5198,59.0748,1.8863,3.0000
21.5198,58.9053,1.8978,3.0000
21.5198,58.7361,1.9083,3.0000
21.5195,58.5674,1.9173,3.0000
21.5195,58.3989,1.9255,3.0000
21.5195,58.2308,1.9326,3.0000
21.5195,58.0629,1.9386,3.0000
21.5195,57.8952,1.9434,3.0000
21.5195,57.7277,1.9472,4.0000
21.5195,57.5603,1.9499,4.0000
21.5195,57.3930,1.9514,4.0000
21.5195,57.2257,1.9519,4.0000
21.5195,57.0584,1.9513,4.0000
21.5195,56.8911,1.9496,4.0000
21.5195,56.7237,1.9467,4.0000
21.5185,56.5561,1.9419,3.0000
21.5185,56.3884,1.9368,3.0000
21.5185,56.2205,1.9307,3.0000
21.5185,56.0523,1.9235,3.0000
21.5185,55.8838,1.9151,3.0000
21.5185,55.7150,1.9057,3.0000
21.5189,55.5458,1.8954,4.0000
17.2848,54.8035,-2.1317,4.0000
17.3025,54.5836,-2.1317,4.0000
17.3218,54.3637,-2.1317,4.0000
17.3426,54.1439,-2.1317,4.0000
17.3649,53.9240,-2.1317,4.0000
17.3888,53.7041,-2.1317,4.0000
17.4142,53.4843,-2.1317,4.0000
17.4412,53.2644,-2.1317,4.0000
17.4697,53.0446,-2.1317,4.0000
17.4998,52.8247,-2.1317,4.0000
17.5314,52.6049,-2.1317,4.0000
17.5646,52.3850,-2.1317,4.0000
17.5994,52.1652,-2.1317,4.0000
17.6357,51.9453,-2.1317,4.0000
17.6737,51.7255,-2.1317,4.0000
17.7131,51.5057,-2.1317,4.0000
17.7542,51.2859,-2.1317,4.0000
17.7969,51.0661,-2.1317,4.0000
17.8411,50.8463,-2.1317,4.0000
17.8869,50.6265,-2.1317,4.0000
17.9343,50.4067,-2.1317,4.0000
17.9834,50.1869,-2.1317,4.0000
18.0340,49.9672,-2.1317,4.0000
18.0863,49.7474,-2.1317,4.0000
19.6523,64.1578,-2.1317,4.0000
19.6024,63.9545,-2.1317,4.0000
19.5540,63.7511,-2.1317,4.0000
19.5072,63.5477,-2.1317,4.0000
19.4619,63.3442,-2.1317,4.0000
19.4181,63.1406,-2.1317,4.0000
19.3759,62.9370,-2.1317,4.0000
19.3351,62.7334,-2.1317,4.0000
19.2959,62.5296,-2.1317,4.0000
19.2582,62.3259,-2.1317,4.0000
19.2220,62.1221,-2.1317,4.0000
19.1873,61.9183,-2.1317,4.0000
19.1541,61.7144,-2.1317,4.0000
19.1224,61.5105,-2.1317,4.0000
19.0922,61.3066,-2.1317,4.0000
19.0635,61.1026,-2.1317,4.0000
19.0363,60.8986,-2.1317,4.0000
19.0106,60.6946,-2.1317,4.0000
18.9863,60.4905,-2.1317,4.0000
18.9636,60.2864,-2.1317,4.0000
21.4000,59.6543,0.4356,3.0000
21.4000,59.4781,0.4531,3.0000
21.4000,59.3026,0.4693,3.0000
21.4000,59.1276,0.4841,3.0000
21.4000,58.9531,0.4977,3.0000
21.4000,58.7791,0.5099,3.0000
21.4000,58.6054,0.5207,3.0000
21.4000,58.4321,0.5303,3.0000
21.4000,58.2592,0.5386,3.0000
21.4000,58.0865,0.5456,3.0000
21.4000,57.9140,0.5513,3.0000
21.4000,57.7417,0.5557,3.0000
21.4000,57.5695,0.5588,3.0000
21.4000,57.3974,0.5606,3.0000
21.4000,57.2254,0.5612,3.0000
21.4000,57.0533,0.5605,3.0000
21.4000,56.8812,0.5584,3.0000
21.4000,56.7091,0.5552,3.0000
21.4000,56.5367,0.5506,3.0000
21.4000,56.3642,0.5447,3.0000
21.4000,56.1915,0.5376,3.0000
21.4000,56.0185,0.5291,3.0000
21.4000,55.8451,0.5193,3.0000
21.2000,55.6489,0.3004,3.0000
18.8741,55.1807,-2.1317,4.0000
18.8896,54.9765,-2.1317,4.0000
18.9066,54.7724,-2.1317,4.0000
18.9251,54.5682,-2.1317,4.0000
18.9451,54.3641,-2.1317,4.0000
18.9666,54.1600,-2.1317,4.0000
18.9895,53.9559,-2.1317,4.0000
19.0140,53.7519,-2.1317,4.0000
19.0399,53.5478,-2.1317,4.0000
19.0673,53.3438,-2.1317,4.0000
19.0962,53.1399,-2.1317,4.0000
19.1266,52.9359,-2.1317,4.0000
19.1585,52.7320,-2.1317,4.0000
19.1919,52.5282,-2.1317,4.0000
19.2268,52.3243,-2.1317,4.0000
19.2633,52.1206,-2.1317,4.0000
19.3012,51.9168,-2.1317,4.0000
19.3406,51.7131,-2.1317,4.0000
19.3815,51.5095,-2.1317,4.0000
19.4240,51.3059,-2.1317,4.0000
19.4680,51.1023,-2.1317,4.0000
19.5135,50.8988,-2.1317,4.0000
19.5606,50.6954,-2.1317,4.0000
19.6091,50.4920,-2.1317,4.0000
19.6592,50.2887,-2.1317,4.0000
21.0864,63.6665,-2.1317,4.0000
21.0386,63.4781,-2.1317,4.0000
20.9923,63.2895,-2.1317,4.0000
20.9475,63.1009,-2.1317,4.0000
20.9041,62.9122,-2.1317,4.0000
20.8622,62.7234,-2.1317,4.0000
20.8218,62.5345,-2.1317,4.0000
20.7828,62.3455,-2.1317,4.0000
20.7452,62.1565,-2.1317,4.0000
20.7091,61.9674,-2.1317,4.0000
20.6744,61.7782,-2.1317,4.0000
20.6412,61.5889,-2.1317,4.0000
20.6094,61.3996,-2.1317,4.0000
20.5790,61.2102,-2.1317,4.0000
20.5500,61.0208,-2.1317,4.0000
20.5225,60.8313,-2.1317,4.0000
20.4965,60.6417,-2.1317,4.0000
20.4718,60.4522,-2.1317,4.0000
20.4486,60.2625,-2.1317,4.0000
20.4268,60.0728,-2.1317,4.0000
21.4000,59.7063,-0.9916,3.0000
21.4000,59.5263,-0.9713,3.0000
21.4000,59.3469,-0.9526,3.0000
21.4000,59.1681,-0.9354,3.0000
