X,Y,Z,C
-69.2371,22.3553,-0.9500,4.0000
-69.5308,22.4050,-0.9500,4.0000
-69.8241,22.4529,-0.9500,4.0000
-70.1171,22.4990,-0.9500,4.0000
-70.4099,22.5435,-0.9500,4.0000
-70.7023,22.5861,-0.9500,4.0000
-70.9944,22.6271,-0.9500,4.0000
-71.2863,22.6663,-0.9500,4.0000
-71.5780,22.7039,-0.9500,4.0000
-71.8694,22.7397,-0.9500,4.0000
-72.1605,22.7739,-0.9500,4.0000
-72.4515,22.8063,-0.9500,4.0000
-72.7422,22.8371,-0.9500,4.0000
-73.0328,22.8661,-0.9500,4.0000
-73.3232,22.8935,-0.9500,4.0000
-73.6133,22.9193,-0.9500,4.0000
-73.9034,22.9434,-0.9500,4.0000
-74.1932,22.9658,-0.9500,4.0000
-74.4829,22.9865,-0.9500,4.0000
-71.7003,20.2273,-0.9500,4.0000
-71.9674,20.2649,-0.9500,4.0000
-72.2345,20.3009,-0.9500,4.0000
-72.5013,20.3352,-0.9500,4.0000
-72.7680,20.3679,-0.9500,4.0000
-73.0346,20.3989,-0.9500,4.0000
-73.3011,20.4283,-0.9500,4.0000
-73.5674,20.4560,-0.9500,4.0000
-73.8336,20.4821,-0.9500,4.0000
-74.0997,20.5066,-0.9500,4.0000
-74.3657,20.5294,-0.9500,4.0000
-74.6316,20.5506,-0.9500,4.0000
-74.8974,20.5702,-0.9500,4.0000
-75.1631,20.5882,-0.9500,4.0000
-75.4288,20.6045,-0.9500,4.0000
-75.6944,20.6193,-0.9500,4.0000
-75.9599,20.6324,-0.9500,4.0000
-76.2254,20.6439,-0.9500,4.0000
-76.4908,20.6538,-0.9500,4.0000
-76.7562,20.6621,-0.9500,4.0000
-77.0216,20.6688,-0.9500,4.0000
-77.2869,20.6739,-0.9500,4.0000
-77.5522,20.6774,-0.9500,4.0000
-77.8175,20.6793,-0.9500,4.0000
-78.0828,20.6796,-0.9500,4.0000
-78.3481,20.6783,-0.9500,4.0000
-78.6134,20.6754,-0.9500,4.0000
-78.8787,20.6709,-0.9500,4.0000
-79.1441,20.6648,-0.9500,4.0000
-79.4095,20.6571,-0.9500,4.0000
-79.6749,20.6478,-0.9500,4.0000
-79.9404,20.6369,-0.9500,4.0000
-80.2059,20.6243,-0.9500,4.0000
