X,Y,Z,C
-80.1093,25.1347,-0.9500,4.0000
-80.1522,24.8670,-0.9500,4.0000
-80.1935,24.5994,-0.9500,4.0000
-80.2331,24.3321,-0.9500,4.0000
-80.2710,24.0649,-0.9500,4.0000
-80.3073,23.7979,-0.9500,4.0000
-80.3419,23.5310,-0.9500,4.0000
-80.3748,23.2642,-0.9500,4.0000
-80.4061,22.9976,-0.9500,4.0000
-80.4358,22.7312,-0.9500,4.0000
-80.4638,22.4648,-0.9500,4.0000
-80.4901,22.1986,-0.9500,4.0000
-80.5149,21.9325,-0.9500,4.0000
-80.5380,21.6665,-0.9500,4.0000
-80.5595,21.4005,-0.9500,4.0000
-80.5793,21.1347,-0.9500,4.0000
-80.5976,20.8690,-0.9500,4.0000
-80.6142,20.6033,-0.9500,4.0000
-80.3654,20.3106,-0.7625,13.0000
-80.3787,20.0481,-0.7625,13.0000
-80.3903,19.7857,-0.7625,13.0000
-80.4004,19.5233,-0.7625,13.0000
-80.4089,19.2610,-0.7625,13.0000
-80.4158,18.9987,-0.7625,13.0000
-80.4211,18.7364,-0.7625,13.0000
-80.4248,18.4741,-0.7625,13.0000
-80.4270,18.2119,-0.7625,13.0000
-80.4275,17.9496,-0.7625,13.0000
-80.4265,17.6874,-0.7625,13.0000
-80.4239,17.4251,-0.7625,13.0000
-80.4197,17.1629,-0.7625,13.0000
-80.4140,16.9006,-0.7625,13.0000
-80.4066,16.6383,-0.7625,13.0000
-80.3977,16.3759,-0.7625,13.0000
-80.3872,16.1135,-0.7625,13.0000
-80.3750,15.8511,-0.7625,13.0000
-80.3613,15.5886,-0.7625,13.0000
-80.3460,15.3260,-0.7625,13.0000
-80.3291,15.0634,-0.7625,13.0000
-80.3106,14.8007,-0.7625,13.0000
-80.2905,14.5379,-0.7625,13.0000
-80.2689,14.2750,-0.7625,13.0000
-80.2455,14.0120,-0.7625,13.0000
-80.2206,13.7489,-0.7625,13.0000
-80.1941,13.4857,-0.7625,13.0000
-80.1660,13.2224,-0.7625,13.0000
-80.1362,12.9590,-0.7625,13.0000
-80.1048,12.6954,-0.7625,13.0000
-80.0717,12.4317,-0.7625,13.0000
-80.0371,12.1679,-0.7625,13.0000
-80.0008,11.9039,-0.7625,13.0000
-79.9628,11.6397,-0.7625,13.0000
-79.9232,11.3754,-0.7625,13.0000
-79.8819,11.1109,-0.7625,13.0000
-79.8652,10.8377,-0.7816,4.0000
-80.0515,10.4951,-0.9500,4.0000
-80.0047,10.2270,-0.9500,4.0000
-79.9562,9.9586,-0.9500,4.0000
-79.9059,9.6901,-0.9500,4.0000
-79.8539,9.4213,-0.9500,4.0000
-79.8002,9.1523,-0.9500,4.0000
-79.6880,8.9065,-0.9081,3.0000
-77.6582,26.2956,-0.9500,4.0000
-77.7116,26.0487,-0.9500,4.0000
-77.7632,25.8020,-0.9500,4.0000
-77.8132,25.5555,-0.9500,4.0000
-77.8615,25.3090,-0.9500,4.0000
-77.9082,25.0627,-0.9500,4.0000
-77.9532,24.8165,-0.9500,4.0000
-77.9966,24.5704,-0.9500,4.0000
-78.0384,24.3243,-0.9500,4.0000
-78.0785,24.0784,-0.9500,4.0000
-78.1170,23.8326,-0.9500,4.0000
-78.1539,23.5869,-0.9500,4.0000
-78.1891,23.3413,-0.9500,4.0000
-78.2228,23.0957,-0.9500,4.0000
-78.2548,22.8503,-0.9500,4.0000
-78.2853,22.6049,-0.9500,4.0000
-78.3141,22.3596,-0.9500,4.0000
-78.3414,22.1143,-0.9500,4.0000
-78.3671,21.8691,-0.9500,4.0000
-78.3911,21.6240,-0.9500,4.0000
-78.4136,21.3790,-0.9500,4.0000
-78.4345,21.1340,-0.9500,4.0000
-78.4539,20.8890,-0.9500,4.0000
-78.4716,20.6441,-0.9500,4.0000
-78.4878,20.3993,-0.9500,4.0000
-78.5024,20.1544,-0.9500,4.0000
-78.5155,19.9097,-0.9500,4.0000
-78.5270,19.6649,-0.9500,4.0000
-78.5369,19.4202,-0.9500,4.0000
-78.5453,19.1755,-0.9500,4.0000
-78.5521,18.9308,-0.9500,4.0000
-78.5573,18.6861,-0.9500,4.0000
-78.5610,18.4415,-0.9500,4.0000
-78.5631,18.1968,-0.9500,4.0000
-78.5637,17.9522,-0.9500,4.0000
-78.5627,17.7075,-0.9500,4.0000
-78.5601,17.4629,-0.9500,4.0000
-78.5560,17.2182,-0.9500,4.0000
-78.5503,16.9735,-0.9500,4.0000
-78.5430,16.7288,-0.9500,4.0000
-78.5342,16.4841,-0.9500,4.0000
-78.5239,16.2394,-0.9500,4.0000
-78.5119,15.9946,-0.9500,4.0000
-78.4984,15.7498,-0.9500,4.0000
-78.4834,15.5050,-0.9500,4.0000
-78.4667,15.2601,-0.9500,4.0000
-78.4485,15.0152,-0.9500,4.0000
-78.4287,14.7703,-0.9500,4.0000
-78.4073,14.5252,-0.9500,4.0000
-78.3844,14.2802,-0.9500,4.0000
-78.3599,14.0350,-0.9500,4.0000
-78.3337,13.7898,-0.9500,4.0000
-78.3060,13.5446,-0.9500,4.0000
-78.2767,13.2992,-0.9500,4.0000
-78.2458,13.0538,-0.9500,4.0000
-78.2133,12.8084,-0.9500,4.0000
-78.1792,12.5628,-0.9500,4.0000
-78.1435,12.3171,-0.9500,4.0000
-78.1062,12.0714,-0.9500,4.0000
-78.0672,11.8255,-0.9500,4.0000
-78.0266,11.5796,-0.9500,4.0000
-77.9844,11.3336,-0.9500,4.0000
-77.9405,11.0874,-0.9500,4.0000
-77.8951,10.8412,-0.9500,4.0000
-77.8479,10.5948,-0.9500,4.0000
-77.7991,10.3483,-0.9500,4.0000
-77.7486,10.1017,-0.9500,4.0000
-77.6965,9.8550,-0.9500,4.0000
-77.6427,9.6081,-0.9500,4.0000
-75.7990,25.6601,-0.9500,4.0000
-75.8505,25.4329,-0.9500,4.0000
-75.9004,25.2057,-0.9500,4.0000
-75.9487,24.9786,-0.9500,4.0000
-75.9954,24.7516,-0.9500,4.0000
-76.0405,24.5246,-0.9500,4.0000
-76.0840,24.2976,-0.9500,4.0000
-76.1260,24.0707,-0.9500,4.0000
-76.1663,23.8438,-0.9500,4.0000
-76.2051,23.6170,-0.9500,4.0000
-76.2424,23.3902,-0.9500,4.0000
-76.2780,23.1634,-0.9500,4.0000
-76.3121,22.9367,-0.9500,4.0000
-76.3447,22.7100,-0.9500,4.0000
