X,Y,Z,C
20.7537,55.9533,1.8475,4.0000
20.4925,55.9989,1.8475,4.0000
20.2310,56.0409,1.8487,4.0000
19.9707,56.0836,1.8487,4.0000
19.7108,56.1248,1.8487,4.0000
19.4513,56.1646,1.8487,4.0000
19.1922,56.2029,1.8487,4.0000
18.9335,56.2398,1.8487,4.0000
18.6751,56.2753,1.8487,4.0000
18.4170,56.3094,1.8487,4.0000
18.1598,56.3442,1.8475,4.0000
17.9024,56.3755,1.8475,4.0000
17.6452,56.4054,1.8475,4.0000
17.3884,56.4339,1.8475,4.0000
17.0858,56.2564,1.9670,4.0000
17.2000,58.0104,0.9586,3.0000
17.2000,59.3946,0.1672,3.0000
17.6608,63.3696,-2.1317,4.0000
17.3274,63.3979,-2.1317,4.0000
16.9943,63.4244,-2.1317,4.0000
16.6614,63.4491,-2.1317,4.0000
16.3288,63.4721,-2.1317,4.0000
15.9963,63.4933,-2.1317,4.0000
15.6641,63.5128,-2.1317,4.0000
15.3321,63.5305,-2.1317,4.0000
15.0002,63.5465,-2.1317,4.0000
14.6684,63.5607,-2.1317,4.0000
14.3368,63.5733,-2.1317,4.0000
14.0053,63.5841,-2.1317,4.0000
13.6739,63.5931,-2.1317,4.0000
13.3426,63.6005,-2.1317,4.0000
13.0113,63.6061,-2.1317,4.0000
12.6801,63.6100,-2.1317,4.0000
12.3489,63.6121,-2.1317,4.0000
12.0178,63.6126,-2.1317,4.0000
11.6866,63.6113,-2.1317,4.0000
11.3554,63.6083,-2.1317,4.0000
11.0241,63.6036,-2.1317,4.0000
10.6929,63.5972,-2.1317,4.0000
10.3615,63.5890,-2.1317,4.0000
10.0300,63.5791,-2.1317,4.0000
9.6985,63.5675,-2.1317,4.0000
9.3668,63.5541,-2.1317,4.0000
9.0350,63.5391,-2.1317,4.0000
8.7030,63.5222,-2.1317,4.0000
8.3709,63.5037,-2.1317,4.0000
8.0386,63.4833,-2.1317,4.0000
7.7061,63.4613,-2.1317,4.0000
