X,Y,Z,C
-68.3507,31.9054,-14.7662,2.0000
-68.2190,31.3552,-14.6385,2.0000
-68.1627,30.8403,-14.5577,2.0000
-55.6967,25.8497,-7.1035,2.0000
-55.7468,25.5366,-7.1035,3.0000
-55.7951,25.2241,-7.1035,3.0000
-55.8419,24.9121,-7.1035,3.0000
-56.1379,24.6787,-7.2517,4.0000
-56.1816,24.3646,-7.2517,4.0000
-56.2235,24.0509,-7.2517,4.0000
-56.2637,23.7376,-7.2517,4.0000
-56.3022,23.4247,-7.2517,4.0000
-56.3390,23.1121,-7.2517,4.0000
-56.3741,22.7999,-7.2517,4.0000
-56.4076,22.4880,-7.2517,4.0000
-56.4394,22.1764,-7.2517,4.0000
-56.4695,21.8652,-7.2517,4.0000
-56.4979,21.5542,-7.2517,4.0000
-56.5247,21.2435,-7.2517,4.0000
-56.5499,20.9330,-7.2517,4.0000
-56.5734,20.6228,-7.2517,4.0000
-56.5953,20.3128,-7.2517,4.0000
-56.6155,20.0030,-7.2517,4.0000
-56.6342,19.6934,-7.2517,4.0000
-56.6511,19.3839,-7.2517,4.0000
-56.6665,19.0747,-7.2517,4.0000
-56.6803,18.7655,-7.2517,4.0000
-56.6924,18.4565,-7.2517,4.0000
-56.7030,18.1476,-7.2517,4.0000
-56.7119,17.8388,-7.2517,4.0000
-56.7192,17.5301,-7.2517,4.0000
-56.7249,17.2214,-7.2517,4.0000
-56.7290,16.9128,-7.2517,4.0000
-56.7315,16.6042,-7.2517,4.0000
-56.7324,16.2956,-7.2517,4.0000
-56.7317,15.9870,-7.2517,4.0000
-56.7293,15.6785,-7.2517,4.0000
-56.7254,15.3698,-7.2517,4.0000
-56.7199,15.0612,-7.2517,4.0000
-56.7127,14.7524,-7.2517,4.0000
-56.7040,14.4436,-7.2517,4.0000
-56.6936,14.1348,-7.2517,4.0000
-56.6816,13.8258,-7.2517,4.0000
-56.6681,13.5166,-7.2517,4.0000
-56.6529,13.2074,-7.2517,4.0000
-56.6360,12.8979,-7.2517,4.0000
-56.6176,12.5883,-7.2517,4.0000
-56.5975,12.2786,-7.2517,4.0000
-56.5758,11.9686,-7.2517,4.0000
-56.5524,11.6584,-7.2517,4.0000
-56.5275,11.3479,-7.2517,4.0000
-56.5008,11.0373,-7.2517,4.0000
-56.4725,10.7263,-7.2517,4.0000
-56.4426,10.4151,-7.2517,4.0000
-56.4110,10.1036,-7.2517,4.0000
-56.3777,9.7917,-7.2517,4.0000
-56.3428,9.4795,-7.2517,4.0000
-56.3061,9.1670,-7.2517,4.0000
-56.2678,8.8541,-7.2517,4.0000
-56.2278,8.5408,-7.2517,4.0000
-56.1861,8.2272,-7.2517,4.0000
-56.1426,7.9131,-7.2517,4.0000
-56.0974,7.5986,-7.2517,4.0000
-55.8269,7.3585,-7.1194,3.0000
-55.7520,7.0550,-7.1035,3.0000
-55.7020,6.7421,-7.1035,3.0000
-55.6504,6.4286,-7.1035,3.0000
-79.9091,-3.2445,-21.6073,3.0000
-78.2842,-3.2445,-20.6993,3.0000
-66.4884,31.3976,-16.2059,2.0000
-52.8895,25.5777,-7.1070,3.0000
-52.9372,25.2907,-7.1035,3.0000
-52.9885,25.0061,-7.1035,3.0000
-53.2624,24.8013,-7.2517,4.0000
-53.3107,24.5147,-7.2517,4.0000
-53.3573,24.2284,-7.2517,4.0000
-53.4021,23.9424,-7.2517,4.0000
-53.4453,23.6567,-7.2517,4.0000
-53.4868,23.3712,-7.2517,4.0000
-53.5266,23.0861,-7.2517,4.0000
-53.5647,22.8011,-7.2517,4.0000
-53.6012,22.5165,-7.2517,4.0000
-53.6360,22.2321,-7.2517,4.0000
-53.6691,21.9478,-7.2517,4.0000
-53.7006,21.6638,-7.2517,4.0000
-53.7304,21.3801,-7.2517,4.0000
-53.7586,21.0965,-7.2517,4.0000
-53.7852,20.8130,-7.2517,4.0000
-53.8102,20.5298,-7.2517,4.0000
-53.8335,20.2467,-7.2517,4.0000
-53.8552,19.9637,-7.2517,4.0000
-53.8753,19.6809,-7.2517,4.0000
-53.8937,19.3983,-7.2517,4.0000
-53.9106,19.1157,-7.2517,4.0000
-53.9259,18.8333,-7.2517,4.0000
-49.9565,18.1853,-4.6926,5.0000
-49.9666,17.9485,-4.6926,5.0000
-49.9754,17.7117,-4.6926,5.0000
-49.9828,17.4750,-4.6926,5.0000
-49.9889,17.2383,-4.6926,5.0000
-49.9937,17.0016,-4.6926,5.0000
-49.9971,16.7650,-4.6926,5.0000
-49.9991,16.5284,-4.6926,5.0000
-49.9999,16.2918,-4.6926,5.0000
-53.9905,16.0122,-7.2517,4.0000
-53.9882,15.7303,-7.2517,4.0000
-53.9843,15.4482,-7.2517,4.0000
-53.9788,15.1662,-7.2517,4.0000
-53.9717,14.8841,-7.2517,4.0000
-53.9630,14.6020,-7.2517,4.0000
-53.9527,14.3198,-7.2517,4.0000
-53.9409,14.0376,-7.2517,4.0000
-53.9274,13.7552,-7.2517,4.0000
-53.9123,13.4728,-7.2517,4.0000
-53.8956,13.1902,-7.2517,4.0000
-53.8773,12.9076,-7.2517,4.0000
-53.8574,12.6248,-7.2517,4.0000
-53.8358,12.3418,-7.2517,4.0000
-53.8127,12.0588,-7.2517,4.0000
-53.7879,11.7755,-7.2517,4.0000
-53.7615,11.4921,-7.2517,4.0000
-53.7335,11.2085,-7.2517,4.0000
-53.7038,10.9248,-7.2517,4.0000
-53.6725,10.6408,-7.2517,4.0000
-53.6395,10.3566,-7.2517,4.0000
-53.6049,10.0722,-7.2517,4.0000
-53.5686,9.7876,-7.2517,4.0000
-53.5307,9.5027,-7.2517,4.0000
-53.4911,9.2175,-7.2517,4.0000
-53.4497,8.9321,-7.2517,4.0000
-53.4067,8.6465,-7.2517,4.0000
-53.3621,8.3605,-7.2517,4.0000
-53.3157,8.0742,-7.2517,4.0000
-53.2676,7.7876,-7.2517,4.0000
-53.2177,7.5007,-7.2517,4.0000
-52.9480,7.2960,-7.1070,3.0000
-52.8899,7.0131,-7.1035,3.0000
-52.8406,6.7257,-7.1070,3.0000
-50.5010,25.0601,-7.1035,3.0000
-50.7555,24.8799,-7.2517,3.0000
-50.8077,24.6173,-7.2517,4.0000
-50.8583,24.3550,-7.2517,4.0000
-50.9072,24.0929,-7.2517,4.0000
-50.9545,23.8309,-7.2517,4.0000
-51.0000,23.5692,-7.2517,4.0000
-51.0439,23.3077,-7.2517,4.0000
-51.0862,23.0463,-7.2517,4.0000
-51.1268,22.7851,-7.2517,4.0000
-51.1658,22.5241,-7.2517,4.0000
-51.2031,22.2633,-7.2517,4.0000
-51.2389,22.0026,-7.2517,4.0000
-51.2729,21.7420,-7.2517,4.0000
-51.3054,21.4816,-7.2517,4.0000
-51.3363,21.2213,-7.2517,4.0000
-51.3655,20.9612,-7.2517,4.0000
-51.3932,20.7012,-7.2517,4.0000
-51.4192,20.4413,-7.2517,4.0000
-51.4437,20.1815,-7.2517,4.0000
-51.4666,19.9218,-7.2517,4.0000
-51.4879,19.6622,-7.2517,4.0000
-51.5076,19.4027,-7.2517,4.0000
-51.5257,19.1433,-7.2517,4.0000
-51.5422,18.8839,-7.2517,4.0000
-47.9669,18.2481,-4.6992,5.0000
-47.9722,18.0300,-4.6950,5.0000
-47.9788,17.8122,-4.6926,5.0000
-47.9874,17.5948,-4.6926,5.0000
-47.9947,17.3774,-4.6926,5.0000
-48.0006,17.1601,-4.6926,5.0000
-48.0053,16.9427,-4.6926,5.0000
-48.0086,16.7254,-4.6926,5.0000
-48.0107,16.5081,-4.6926,5.0000
-48.0114,16.2908,-4.6926,5.0000
-50.8960,16.0420,-6.7380,5.0000
-51.6183,15.7750,-7.2517,4.0000
-51.6145,15.5160,-7.2517,4.0000
-51.6091,15.2570,-7.2517,4.0000
-51.6022,14.9980,-7.2517,4.0000
-51.5937,14.7389,-7.2517,4.0000
-51.5836,14.4798,-7.2517,4.0000
-51.5719,14.2206,-7.2517,4.0000
-51.5587,13.9614,-7.2517,4.0000
-51.5439,13.7021,-7.2517,4.0000
-51.5275,13.4428,-7.2517,4.0000
-51.5095,13.1834,-7.2517,4.0000
-51.4900,12.9239,-7.2517,4.0000
-51.4689,12.6643,-7.2517,4.0000
-51.4462,12.4046,-7.2517,4.0000
-51.4219,12.1448,-7.2517,4.0000
-51.3960,11.8849,-7.2517,4.0000
-51.3685,11.6249,-7.2517,4.0000
-51.3394,11.3648,-7.2517,4.0000
-51.3088,11.1045,-7.2517,4.0000
-51.2764,10.8442,-7.2517,4.0000
-51.2425,10.5836,-7.2517,4.0000
-51.2070,10.3229,-7.2517,4.0000
-51.1698,10.0621,-7.2517,4.0000
-51.1310,9.8011,-7.2517,4.0000
-51.0906,9.5399,-7.2517,4.0000
-51.0485,9.2786,-7.2517,4.0000
-51.0047,9.0171,-7.2517,4.0000
-50.9594,8.7554,-7.2517,4.0000
-50.9123,8.4935,-7.2517,4.0000
-50.8636,8.2313,-7.2517,4.0000
-50.8132,7.9690,-7.2517,4.0000
-50.7610,7.7065,-7.2517,4.0000
-50.7072,7.4437,-7.2517,4.0000
-48.6494,24.4369,-7.2517,4.0000
-48.7018,24.1959,-7.2517,4.0000
-48.7525,23.9551,-7.2517,4.0000
-48.8016,23.7144,-7.2517,4.0000
-48.8491,23.4738,-7.2517,4.0000
-48.8950,23.2333,-7.2517,4.0000
-48.9393,22.9929,-7.2517,4.0000
-48.9819,22.7527,-7.2517,4.0000
-49.0230,22.5125,-7.2517,4.0000
-49.0625,22.2724,-7.2517,4.0000
-49.1004,22.0324,-7.2517,4.0000
-49.1367,21.7926,-7.2517,4.0000
-49.1714,21.5528,-7.2517,4.0000
-49.2045,21.3131,-7.2517,4.0000
-49.2361,21.0735,-7.2517,4.0000
-49.2662,20.8339,-7.2517,4.0000
-49.2946,20.5944,-7.2517,4.0000
-49.3215,20.3550,-7.2517,4.0000
-49.3469,20.1157,-7.2517,4.0000
-49.3707,19.8764,-7.2517,4.0000
-49.3929,19.6371,-7.2517,4.0000
-49.4137,19.3980,-7.2517,4.0000
-49.4328,19.1589,-7.2517,4.0000
-49.4505,18.9198,-7.2517,4.0000
-47.0898,18.3992,-5.3877,4.0000
-47.0962,18.1876,-5.3827,5.0000
-47.1020,17.9762,-5.3781,5.0000
-47.1070,17.7650,-5.3742,5.0000
-47.1114,17.5540,-5.3707,5.0000
-47.1152,17.3431,-5.3678,5.0000
-47.1182,17.1324,-5.3654,5.0000
-47.1206,16.9218,-5.3635,5.0000
-47.1223,16.7113,-5.3622,5.0000
-47.1233,16.5009,-5.3614,5.0000
-47.1237,16.2905,-5.3611,5.0000
-49.5429,16.0531,-7.2517,4.0000
-49.5407,15.8143,-7.2517,4.0000
-49.5370,15.5755,-7.2517,4.0000
-49.5318,15.3366,-7.2517,4.0000
-49.5250,15.0978,-7.2517,4.0000
-49.5167,14.8589,-7.2517,4.0000
-49.5069,14.6200,-7.2517,4.0000
-49.4955,14.3811,-7.2517,4.0000
-49.4826,14.1421,-7.2517,4.0000
-49.4682,13.9031,-7.2517,4.0000
-49.4523,13.6641,-7.2517,4.0000
-49.4348,13.4250,-7.2517,4.0000
-49.4158,13.1859,-7.2517,4.0000
-49.3952,12.9468,-7.2517,4.0000
-49.3731,12.7075,-7.2517,4.0000
-49.3495,12.4683,-7.2517,4.0000
-49.3243,12.2289,-7.2517,4.0000
-49.2975,11.9895,-7.2517,4.0000
-49.2692,11.7501,-7.2517,4.0000
-49.2394,11.5105,-7.2517,4.0000
-49.2079,11.2709,-7.2517,4.0000
-49.1750,11.0312,-7.2517,4.0000
-49.1404,10.7914,-7.2517,4.0000
-49.1043,10.5515,-7.2517,4.0000
-49.0665,10.3116,-7.2517,4.0000
-49.0272,10.0715,-7.2517,4.0000
-48.9863,9.8314,-7.2517,4.0000
-48.9438,9.5911,-7.2517,4.0000
-48.8997,9.3507,-7.2517,4.0000
-48.8540,9.1103,-7.2517,4.0000
-48.8067,8.8697,-7.2517,4.0000
-48.7578,8.6290,-7.2517,4.0000
-48.7072,8.3882,-7.2517,4.0000
-48.6550,8.1472,-7.2517,4.0000
-46.8348,23.8128,-7.2517,4.0000
-46.8854,23.5910,-7.2517,4.0000
-46.9344,23.3693,-7.2517,4.0000
-46.9819,23.1476,-7.2517,4.0000
-47.0278,22.9259,-7.2517,4.0000
-47.0721,22.7043,-7.2517,4.0000
-47.1149,22.4828,-7.2517,4.0000
-47.1561,22.2612,-7.2517,4.0000
-47.1958,22.0398,-7.2517,4.0000
-47.2340,21.8183,-7.2517,4.0000
-47.2706,21.5969,-7.2517,4.0000
-47.3058,21.3756,-7.2517,4.0000
